DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.003560359027801123,0.01424433617539586
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.003560359027801123,0.01424433617539586
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,113.4,not given,0.0786165347969899,NO3-,0.004612813519063578,0.05867485168323892
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,145.8,not given,0.0786165347969899,NO3-,0.004612813519063578,0.05867485168323892
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,171.9,not given,0.0786165347969899,NO3-,0.004612813519063578,0.05867485168323892
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,213.6,not given,0.0786165347969899,NO3-,0.004612813519063578,0.05867485168323892
10.1021/acsomega.5c04494,ethanol,685.0444975037987,Zn(NO3)2·6H2O,3.159982519245638,40.19488428745432,No,30,60.0,181.8,not given,0.0786165347969899,NO3-,0.004612813519063578,0.05867485168323892
10.1021/acsami.8b13393,Methanol,249.6878901373284,Zn(NO3)2·6H2O,0.336168353111238,2.009744214372716,Yes,25,5.0,1.27,not given,0.167269222972319,NO3-,0.001346354254210508,0.008049025578562729
10.1021/acsami.8b13393,Methanol,249.6878901373284,Zn(NO3)2·6H2O,0.336168353111238,2.009744214372716,Yes,25,90.0,7.58,not given,0.167269222972319,NO3-,0.001346354254210508,0.008049025578562729
10.1016/j.jddst.2025.107616,Water,8333.333333333332,Zn(NO3)2·6H2O,5.042525296668571,40.19488428745432,Yes,25,60.0,81.84,not given,0.1254519172292393,NO3-,0.0006051030356002286,0.00482338611449452
10.1016/j.jddst.2025.107616,Water,8333.333333333332,Zn(NO3)2·6H2O,5.042525296668571,40.19488428745432,Yes,25,60.0,62.75,not given,0.1254519172292393,NO3-,0.0006051030356002286,0.00482338611449452
10.1021/acsami.6b05901,Methanol,9987.515605493134,Zn(NO3)2·6H2O,14.119070830672,114.0073081607795,Yes,25,60.0,60.0,not given,0.1238435593160439,NO3-,0.001413671966921034,0.01141498172959805
10.1016/j.inoche.2024.112294,Methanol,2496.878901373283,Zn(NO3)2·6H2O,4.874441120112952,39.95127892813642,No,25,720.0,200.0,not given,0.1220096390125833,NO3-,0.001952213668605237,0.01600048721071864
10.1016/j.inoche.2024.112294,Methanol,2496.878901373283,Zn(NO3)2·6H2O,4.639123272935086,39.95127892813642,Yes,30,120.0,200.0,not given,0.1161195185085275,NO3-,0.001857968870810502,0.01600048721071864
10.1016/j.bioadv.2022.213206,"N,N-dimethylformamide",774.9350116294978,Zn(NO3)2·6H2O,10.42121894644838,11.69305724725944,Yes,140,420.0,500.0,Triethylamine,0.8912313286493875,NO3-,0.01344786180783743,0.01508908111232684
10.1016/j.inoche.2023.111325,Methanol,624.2197253433209,Zn(NO3)2·6H2O,2.017010118667428,19.4884287454324,No,60,60.0,360.0,not given,0.1034978317141224,NO3-,0.00323125021010522,0.03122046285018271
10.1016/j.molstruc.2024.138452,Water,1111.111111111111,Zn(CH3COO)2,11.99040767386091,79.90255785627285,Yes,25,30.0,200.0,not given,0.1500628765280458,CH3COO-,0.01079136690647482,0.07191230207064557
10.1016/j.micromeso.2026.114063,Methanol,998.7515605493134,Zn(NO3)2·6H2O,2.0,16.0,Yes,25,1440.0,400.0,not given,0.125,NO3-,0.0020025,0.01602
10.1039/d0ta06682f,Methanol,1248.439450686642,Zn(NO3)2·6H2O,8.24620970181867,66.00487210718636,Yes,25,120.0,150.0,not given,0.1249333486841322,NO3-,0.006605213971156755,0.05286990255785628
10.1016/j.mtadv.2022.100336,Water,55.55555555555555,Zn(NO3)2·6H2O,0.032,1.15,Yes,25,60.0,291.5,not given,0.0278260869565217,NO3-,0.0005760000000000001,0.0207
10.1039/d3ra04824a,Methanol,1248.439450686642,Zn(NO3)2·6H2O,3.361683531112381,36.54080389768575,Yes,25,180.0,110.0,not given,0.0919980726347755,NO3-,0.002692708508421017,0.02926918392204629
10.1016/j.micromeso.2025.113533,Methanol,1248.439450686642,Zn(NO3)2·4H2O,2.84577723378213,19.97563946406821,Yes,25,4380.0,76.8,not given,0.1424623846911663,NO3-,0.002279467564259486,0.01600048721071864
10.1039/c7ta00148g,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.991898342690019,23.99512789281365,Yes,25,1440.0,300.0,not given,0.1246877431141373,NO3-,0.002396510572494705,0.01922009744214373
10.1039/d2ra08312d,Methanol,3245.942571785269,Zn(NO3)2·6H2O,2.0,12.0,Yes,25,30.0,450.0,not given,0.1666666666666666,NO3-,0.0006161538461538461,0.003696923076923077
10.1039/d2ra08312d,Water,7222.222222222222,Zn(NO3)2·6H2O,2.0,12.0,Yes,25,30.0,200.0,not given,0.1666666666666666,NO3-,0.0002769230769230769,0.001661538461538462
10.1021/acsomega.5c03165,Water,244.4444444444444,Zn(NO3)2·6H2O,0.1966584865700743,13.82460414129111,Yes,25,15.0,155.7,not given,0.0142252526408837,NO3-,0.0008045119905139403,0.05655519875982727
10.1021/acsomega.5c03165,Water,244.4444444444444,Zn(NO3)2·6H2O,0.1966584865700743,13.82460414129111,Yes,25,15.0,132.3,not given,0.0142252526408837,NO3-,0.0008045119905139403,0.05655519875982727
10.1016/j.rechem.2025.102793,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.5042525296668571,2.009744214372716,Yes,25,1440.0,262.6,NaOH,0.2509038344584785,NO3-,0.001009765690657881,0.004024512789281364
10.1016/j.seppur.2026.137155,Water,4444.444444444444,Zn(NO3)2·6H2O,1.983393283356305,15.83434835566383,Yes,22,240.0,220.0,not given,0.1252589142796558,NO3-,0.0004462634887551686,0.003562728380024361
10.1016/j.seppur.2026.137155,Water,4444.444444444444,Zn(NO3)2·6H2O,1.983393283356305,15.83434835566383,Yes,22,240.0,150.0,not given,0.1252589142796558,NO3-,0.0004462634887551686,0.003562728380024361
10.1016/j.seppur.2026.137155,Water,4444.444444444444,Zn(NO3)2·6H2O,1.983393283356305,15.83434835566383,Yes,22,240.0,230.0,not given,0.1252589142796558,NO3-,0.0004462634887551686,0.003562728380024361
10.1016/j.seppur.2026.137155,Water,4444.444444444444,Zn(NO3)2·6H2O,1.983393283356305,15.83434835566383,No,22,240.0,270.0,n-hexane,0.1252589142796558,NO3-,0.0004462634887551686,0.003562728380024361
10.1039/d0dt02576c,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.469156553602044,9.87454323995128,Yes,25,120.0,19.3,n-butylamine,0.2500527359698135,NO3-,0.001977794399435238,0.007909509135200976
