generation,individual_idx,fitness,size,temperature_C,time_min,hmim_mM,zn_source_mM,ratio,stirring,counterion,solvent_name
8,12,-107.62088888888891,207.6208888888889,25.76426807532583,21.954440144072443,0.08484989637740606,0.001995273700627301,0.02351533455918993,Yes,SO42-,Methanol
8,13,-39.17269999999999,139.1727,25.859621557611664,24.33785985822046,0.03557150721168954,0.011290882695226705,0.3174136712294351,Yes,NO3-,Methanol
8,14,-33.55348333333336,133.55348333333336,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Initial,NO3-,Methanol
8,15,-108.89422222222223,208.89422222222223,26.383908692745585,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,SO42-,Methanol
8,16,-0.37655333333333374,100.37655333333333,25.868839026796543,15.70507982126326,0.09584853069616354,0.0024626867017628557,0.02569352585664026,Yes,NO3-,Methanol
8,17,-108.89422222222223,208.89422222222223,24.558616606835397,32.32760970678649,0.10674252300304875,0.001872237281972522,0.017539751069206484,Yes,SO42-,Methanol
8,18,-10.707433333333313,110.70743333333331,25.76426807532583,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
8,19,-2.9667666666666577,102.96676666666666,25.76426807532583,21.954440144072443,0.09299348946647125,0.001872237281972522,0.020132993102141374,Yes,NO3-,Methanol
8,20,-2.8714333333333286,102.87143333333333,26.845042974523952,34.594456698292355,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,21,-0.013433333333324526,100.01343333333332,25.76426807532583,22.66794473986983,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,22,-127.3831111111111,227.3831111111111,25.76426807532583,21.954440144072443,0.03557150721168954,0.001995273700627301,0.056091907738213924,Yes,CH3COO-,Methanol
8,23,-33.841669047619064,133.84166904761906,25.859621557611664,24.33785985822046,0.03557150721168954,0.001872237281972522,0.05263306024202611,No,NO3-,Methanol
8,24,-0.013433333333324526,100.01343333333332,25.030075715089822,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,25,-0.019900000000006912,99.9801,26.383908692745585,16.079990489503594,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,26,-11.749886666666669,111.74988666666667,25.868839026796543,32.32760970678649,0.09584853069616354,0.0024626867017628557,0.02569352585664026,Yes dropwise,NO3-,Methanol
8,27,-114.69644444444444,214.69644444444444,24.558616606835397,32.32760970678649,0.10674252300304875,0.001872237281972522,0.017539751069206484,Yes,ClO4-,Methanol
8,28,-10.707433333333313,110.70743333333331,24.1103440592848,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
8,29,-0.013433333333324526,100.01343333333332,25.76426807532583,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,30,-3.5477333333333405,96.45226666666666,26.845042974523952,12.06152815514367,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,31,-1.5867666666666622,101.58676666666666,25.76426807532583,21.954440144072443,0.06428801025614003,0.001872237281972522,0.029122650934646218,Yes,NO3-,Methanol
8,32,-13.517073333333343,113.51707333333334,25.76426807532583,24.33785985822046,0.03557150721168954,0.004907833747032987,0.13797092481423362,Yes,NO3-,Methanol
8,33,-10.707433333333313,110.70743333333331,25.859621557611664,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes dropwise,NO3-,Methanol
8,34,-29.108516666666674,129.10851666666667,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,No,NO3-,Methanol
8,35,-0.013433333333324526,100.01343333333332,26.383908692745585,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,36,-112.62644444444445,212.62644444444445,25.868839026796543,21.954440144072443,0.08484989637740606,0.0024626867017628557,0.029024039001874644,Yes,ClO4-,Methanol
8,37,-23.61082476190478,123.61082476190478,27.908522330111186,32.32760970678649,0.09584853069616354,0.0024626867017628557,0.02569352585664026,Yes dropwise,NO3-,Methanol
8,38,-19.444760317460307,119.44476031746031,28.97845082224321,32.32760970678649,0.10674252300304875,0.001872237281972522,0.017539751069206484,Yes,NO3-,Methanol
8,39,-0.013433333333324526,100.01343333333332,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,40,-33.55348333333336,133.55348333333336,26.845042974523952,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Initial,NO3-,Methanol
8,41,-0.013433333333324526,100.01343333333332,24.065974971950883,21.954440144072443,0.08484989637740606,0.001872237281972522,0.022065286605005965,Yes,NO3-,Methanol
8,42,-30.389196825396823,69.61080317460318,25.76426807532583,21.954440144072443,0.015452321199185345,0.001995273700627301,0.129124529247586,Yes,NO3-,Methanol
